"","gene","distance","Z","FC","p.value","p.adj"
"3000","Pparg",2.67601166928386e-06,3.17121721179205,358351.977366747,0,0
"2577","Rad51",2.75279043176363e-08,1.99623148086616,37.9210277756152,7.36669478108317e-10,1.10500421716248e-06
"2378","Ccnb1",2.51525877759768e-08,1.97381424282419,31.6591423698922,1.83747539490906e-08,1.83747539490906e-05
"2455","Pbk",2.4704133604071e-08,1.96934851194859,30.5402827933001,3.27005628866488e-08,2.45254221649866e-05
"1956","Melk",2.44318633820719e-08,1.96659806782008,29.8708087901042,4.61813698385327e-08,2.77088219031196e-05
"2938","Aurka",2.38374134345511e-08,1.96048645564859,28.4349230432018,9.6901457402706e-08,4.8450728701353e-05
"1880","Shcbp1",2.36781033795429e-08,1.95882303027696,28.0561208853627,1.17847783865444e-07,5.05061930851905e-05
"2454","Cdca5",2.32676255323299e-08,1.95448567450306,27.0918043585323,1.94018749580443e-07,7.27570310926663e-05
"2543","Nusap1",2.30973250906248e-08,1.95266399196906,26.6966749309053,2.38030776069054e-07,7.93435920230181e-05
"1459","Ska1",2.27801983971273e-08,1.94923615551408,25.9686159473366,3.47012969129848e-07,0.000104103890738954
"2793","Tk1",2.24002035056728e-08,1.94506626174968,25.1094804816641,5.41659032244543e-07,0.000147725190612148
"1881","Cep55",2.2228383959625e-08,1.94315784143539,24.725756000191,6.60949797871484e-07,0.000165237449467871
"1709","Mxd3",2.21303553518229e-08,1.94206249897327,24.5081525238958,7.39960821637337e-07,0.000170760189608616
"1662","Bard1",2.16733843404826e-08,1.93689248341039,23.5064618285866,1.2449493478891e-06,0.000266774860261949
"915","Fam64a",2.04327031182971e-08,1.92229436709881,20.8922613082256,4.85853475685923e-06,0.000971706951371846
"2576","Bub1b",2.03543423287387e-08,1.92134323297494,20.7323221339828,5.28169112067562e-06,0.000990317085126679
"1745","Neil3",2.01618632854582e-08,1.91899153243984,20.3420693434906,6.47609398360071e-06,0.00114284011475307
"2943","Cdkn3",1.99665823595064e-08,1.91658286717296,19.9499249927315,7.94970736738472e-06,0.00132495122789745
"796","Kif11",1.96170021053358e-08,1.9122124264788,19.2574632059124,1.14222990998456e-05,0.00180352091050194
"1532","Cenpp",1.93151934464516e-08,1.90837700822597,18.6694671797489,1.5545193524144e-05,0.00218635419333042
"2409","Lockd",1.92452878881315e-08,1.90748021410449,18.534574632915,1.66850031422514e-05,0.00218635419333042
"2580","Kif22",1.92406580482668e-08,1.90742070614543,18.5256579785009,1.67632396937512e-05,0.00218635419333042
"1908","Glrb",1.92053098911464e-08,1.90696590555417,18.4576513295225,1.73721946008268e-05,0.00218635419333042
"2047","Ccnf",1.91323205429036e-08,1.90602418406287,18.3176221476017,1.86969637653143e-05,0.00218635419333042
"1888","Nuf2",1.91190332105243e-08,1.90585236749366,18.2921879285012,1.8948261388765e-05,0.00218635419333042
"2626","Prc1",1.91114959058172e-08,1.90575485135599,18.2777680971596,1.90922378685942e-05,0.00218635419333042
"1535","Traip",1.90814198483918e-08,1.90536535543856,18.2202853494312,1.96771877399738e-05,0.00218635419333042
"2784","Ube2c",1.90031585976181e-08,1.90434899986478,18.0711331243286,2.12803400203088e-05,0.00228003643074737
"2371","Fjx1",1.89329940297045e-08,1.9034342786891,17.9379329054811,2.28226771873753e-05,0.00232514744916381
"2893","Mis18bp1",1.88785748623993e-08,1.90272252267597,17.834962982202,2.40915537044636e-05,0.00232514744916381
"389","Bmpr1b",1.88718407498071e-08,1.90263430564318,17.82224155286,2.42531592860042e-05,0.00232514744916381
"2350","Ccna2",1.88493023304095e-08,1.90233882587742,17.7796971825363,2.48015727910806e-05,0.00232514744916381
"2179","Pcdh10",1.87018773568072e-08,1.90039744272077,17.5026661356718,2.8690506875317e-05,0.0025448034543692
"568","St6galnac5",1.86965588535691e-08,1.9003271237055,17.4927126162039,2.88411058161842e-05,0.0025448034543692
"1548","Pax6",1.85883960675184e-08,1.89889274532044,17.2909014058873,3.20718854477238e-05,0.00274901875266204
"2586","Mboat2",1.81958892339981e-08,1.89361756809834,16.5683922684323,4.6926641154684e-05,0.003910553429557
"501","Nrn1",1.80104012294061e-08,1.89108550139929,16.2323192397569,5.60300469659091e-05,0.00450340208295464
"825","C130071C03Rik",1.79915589240964e-08,1.89082685102744,16.1983728195509,5.70430930507588e-05,0.00450340208295464
"1989","Cenph",1.78925740335038e-08,1.88946367243972,16.02062463901,6.26562001621634e-05,0.00469694325484692
"318","Ctsg",1.78842191212932e-08,1.88934827199494,16.0056665160009,6.31531809607263e-05,0.00469694325484692
"2115","Gm11627",1.78312395164702e-08,1.88861526292888,15.910977687079,6.63925147772884e-05,0.00469694325484692
"879","Hhatl",1.78234768088338e-08,1.88850768022816,15.8971272329061,6.68801556011495e-05,0.00469694325484692
"1582","Lipt1",1.77773184407953e-08,1.887867019704,15.8148946475798,6.98504727888557e-05,0.00469694325484692
"419","Asphd2",1.77698806775998e-08,1.88776363297931,15.8016639868405,7.03406193527935e-05,0.00469694325484692
"216","Gstm6",1.77681649116391e-08,1.88773977735696,15.7986126834817,7.04541488227038e-05,0.00469694325484692
"921","Aldh5a1",1.76468334608284e-08,1.88604702681387,15.5835849802066,7.89369119619498e-05,0.00504118680143633
"2108","Kif20a",1.76419700316036e-08,1.88597893591343,15.574996559054,7.92962886742171e-05,0.00504118680143633
"129","Sp5",1.76237160340344e-08,1.88572320389363,15.5427825983301,8.06589888229812e-05,0.00504118680143633
"2501","Cenpe",1.73037998862836e-08,1.88119838574505,14.9836205845706,0.000108448420526554,0.00663969921591148
"1945","Plk1",1.72761952755176e-08,1.88080409488832,14.9358522219109,0.000111228996760062,0.0066737398056037
"1760","Hist1h2af",1.69845282610574e-08,1.87659969011446,14.4357973694864,0.000145019331132407,0.00853054889014161
"2217","Ndc80",1.67980587985506e-08,1.87387424739662,14.1205623749098,0.000171459225983742,0.00982372338662937
"1243","Mcm10",1.67844766564377e-08,1.8736745664672,14.0977371244574,0.000173552446497119,0.00982372338662937
"2899","Mki67",1.65993895801022e-08,1.87093747389305,13.7885321115245,0.000204581197649773,0.011365622091654
"979","Aunip",1.65267106697191e-08,1.86985445191906,13.6680527884155,0.000218134020757818,0.0118982193140628
"2476","Rad51ap1",1.6424871617248e-08,1.8683289745411,13.5001242829325,0.000238547654198221,0.0122441191937744
"552","Mtfr2",1.64224572457612e-08,1.86829269589334,13.4961556772352,0.000239052695949016,0.0122441191937744
"1414","Bub1",1.64055184819097e-08,1.86803802394207,13.4683291111143,0.000242624280694812,0.0122441191937744
"2354","Kifc1",1.63986754929995e-08,1.86793506702521,13.4570957684522,0.000244081290891023,0.0122441191937744
"1991","Esco2",1.63807490756284e-08,1.86766515223606,13.4276902643862,0.000247937196582086,0.0122441191937744
"1536","Kcnk12",1.63760205956157e-08,1.86759390783396,13.4199392878183,0.00024896375694008,0.0122441191937744
"179","Kif4",1.62889888364323e-08,1.86627895807471,13.2776755060233,0.000268585306390122,0.0129960632124252
"1272","Hmmr",1.61513106632611e-08,1.86418458541855,13.0541723040955,0.000302609535173275,0.014409977865394
"978","Ckap2",1.61307819121516e-08,1.86387079309114,13.0210089836525,0.00030801581339861,0.0144382412530598
"2640","Nsl1",1.60732627161052e-08,1.86298948142401,12.9283138304838,0.000323649186892797,0.0149376547796676
"2198","Dscc1",1.5884184811099e-08,1.86007035062391,12.6259382845238,0.000380430880399568,0.0172923127454349
"2002","Clspn",1.56777273835859e-08,1.85684351110519,12.2998556896524,0.000452993317529777,0.0202832828744676
"160","Sgol2a",1.56154005223247e-08,1.85586113251542,12.2022538437721,0.000477318135890645,0.021058153053999
"1077","Spag5",1.54512508135916e-08,1.85325523418479,11.9470610778002,0.000547336487648291,0.023797238593404
"2159","Spdl1",1.53205415169818e-08,1.85116061036309,11.7457845787617,0.000609811967631265,0.0261347986127685
"1534","Elane",1.51565886509871e-08,1.84850820266136,11.4957345653992,0.000697560848411327,0.029474402045549
"4","Mpo",1.511003469982e-08,1.84774990107974,11.4252239803244,0.000724536905388469,0.0301890377245195
"1620","Iqgap3",1.49336511910943e-08,1.84485579992434,11.1600414014803,0.000835780577931828,0.0343471470382943
"2095","E2f8",1.46687733121949e-08,1.84044574742562,10.767661483969,0.00103288929610996,0.0418738903828363
"1393","Arhgef39",1.45285824085809e-08,1.83807977472934,10.5628297905671,0.00115384420769873,0.0461537683079491
"1909","Cyp2j9",1.42537104656679e-08,1.8333747603255,10.1669260549422,0.00142982466099522,0.0564404471445481
"708","Prr11",1.39804565289326e-08,1.8286079188666,9.78084792057888,0.00176338975979291,0.0687034971347888
"1645","Ncapg",1.3910000766496e-08,1.82736393935915,9.68251341162473,0.00186029976286184,0.0706988612585732
"1980","Cap2",1.39089817018405e-08,1.82734590102951,9.6810947566697,0.00186173667980909,0.0706988612585732
