"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"O-glycan processing (GO:0016266)","1/61",0.212367390722039,0.328972297564114,0,0,4.2991341991342,6.6612398706681,"C1GALT1"
"transcription, DNA-templated (GO:0006351)","2/221",0.213217832746948,0.329415910910628,0,0,2.3675799086758,3.65895493594898,"BRF2;THRA"
"positive regulation of cysteine-type endopeptidase activity (GO:2001056)","1/62",0.215448551030427,0.330241348561074,0,0,4.22844368746008,6.49080119197452,"GRAMD4"
"glucose metabolic process (GO:0006006)","1/62",0.215448551030427,0.330241348561074,0,0,4.22844368746008,6.49080119197452,"PCK2"
"double-strand break repair via nonhomologous end joining (GO:0006303)","1/62",0.215448551030427,0.330241348561074,0,0,4.22844368746008,6.49080119197452,"DCLRE1A"
"cell cycle G1/S phase transition (GO:0044843)","1/63",0.218517811977594,0.334069115693494,0,0,4.16003351487222,6.32694400578891,"INHBA"
"protein secretion (GO:0009306)","1/64",0.221575218941979,0.334366738661798,0,0,4.09379509379509,6.16932119759128,"COPG2"
"regulation of cilium assembly (GO:1902017)","1/64",0.221575218941979,0.334366738661798,0,0,4.09379509379509,6.16932119759128,"IFT140"
"lipid homeostasis (GO:0055088)","1/64",0.221575218941979,0.334366738661798,0,0,4.09379509379509,6.16932119759128,"PPARG"
"tRNA processing (GO:0008033)","1/64",0.221575218941979,0.334366738661798,0,0,4.09379509379509,6.16932119759128,"ANKRD16"
"plasma membrane organization (GO:0007009)","1/64",0.221575218941979,0.334366738661798,0,0,4.09379509379509,6.16932119759128,"ARV1"
"cilium organization (GO:0044782)","2/228",0.223242043023192,0.335495031159073,0,0,2.29343269678621,3.43899935061169,"IFT140;EXOC4"
"BMP signaling pathway (GO:0030509)","1/65",0.224620817094516,0.335495031159073,0,0,4.02962662337662,6.01760889096194,"MEGF8"
"chemical homeostasis (GO:0048878)","1/65",0.224620817094516,0.335495031159073,0,0,4.02962662337662,6.01760889096194,"PPARG"
"tRNA modification (GO:0006400)","1/65",0.224620817094516,0.335495031159073,0,0,4.02962662337662,6.01760889096194,"ANKRD16"
"organelle assembly (GO:0070925)","3/425",0.230432778239893,0.341916832258725,0,0,1.84834123222749,2.7129880403276,"IFT140;EXOC4;CCDC61"
"regulation of epidermal growth factor receptor signaling pathway (GO:0042058)","1/67",0.230676766969071,0.341916832258725,0,0,3.90712317985045,5.73072535698177,"RHBDF1"
"regulation of gene silencing by miRNA (GO:0060964)","1/67",0.230676766969071,0.341916832258725,0,0,3.90712317985045,5.73072535698177,"PPARG"
"regulation of translational initiation (GO:0006446)","1/68",0.233687208173714,0.345502100185946,0,0,3.84861407249467,5.59500651159212,"EIF2AK4"
"positive regulation of MAP kinase activity (GO:0043406)","1/69",0.236686019655141,0.34817288533653,0,0,3.79182582123759,5.46409998366956,"PDGFC"
"positive regulation of protein transport (GO:0051222)","1/69",0.236686019655141,0.34817288533653,0,0,3.79182582123759,5.46409998366956,"CNST"
"carbohydrate homeostasis (GO:0033500)","1/70",0.239673245782485,0.348174386982301,0,0,3.73668360624882,5.33777316136557,"PPARG"
"kidney development (GO:0001822)","1/70",0.239673245782485,0.348174386982301,0,0,3.73668360624882,5.33777316136557,"C1GALT1"
"cellular response to light stimulus (GO:0071482)","1/70",0.239673245782485,0.348174386982301,0,0,3.73668360624882,5.33777316136557,"EIF2AK4"
"sterol metabolic process (GO:0016125)","1/70",0.239673245782485,0.348174386982301,0,0,3.73668360624882,5.33777316136557,"ARV1"
"regulation of plasma membrane bounded cell projection assembly (GO:0120032)","1/70",0.239673245782485,0.348174386982301,0,0,3.73668360624882,5.33777316136557,"IFT140"
"axonogenesis (GO:0007409)","2/240",0.240510420321275,0.348174386982301,0,0,2.17647058823529,3.10145287750134,"OPHN1;GRB10"
"positive regulation of cellular protein localization (GO:1903829)","1/71",0.242648930653761,0.348174386982301,0,0,3.68311688311688,5.21580770677263,"GAS8"
"response to metal ion (GO:0010038)","1/71",0.242648930653761,0.348174386982301,0,0,3.68311688311688,5.21580770677263,"PAM"
"cellular response to BMP stimulus (GO:0071773)","1/71",0.242648930653761,0.348174386982301,0,0,3.68311688311688,5.21580770677263,"MEGF8"
"myeloid leukocyte differentiation (GO:0002573)","1/71",0.242648930653761,0.348174386982301,0,0,3.68311688311688,5.21580770677263,"PPARG"
"extrinsic apoptotic signaling pathway (GO:0097191)","1/72",0.245613118346404,0.348997715606569,0,0,3.63105908176331,5.09799849287187,"INHBA"
"response to ionizing radiation (GO:0010212)","1/72",0.245613118346404,0.348997715606569,0,0,3.63105908176331,5.09799849287187,"IKBIP"
"cell junction organization (GO:0034330)","1/72",0.245613118346404,0.348997715606569,0,0,3.63105908176331,5.09799849287187,"OPHN1"
"cell morphogenesis involved in differentiation (GO:0000904)","1/72",0.245613118346404,0.348997715606569,0,0,3.63105908176331,5.09799849287187,"OPHN1"
"regulation of Rho protein signal transduction (GO:0035023)","1/73",0.248565852719463,0.350633956493156,0,0,3.58044733044733,4.98415263947084,"OPHN1"
"insulin receptor signaling pathway (GO:0008286)","1/73",0.248565852719463,0.350633956493156,0,0,3.58044733044733,4.98415263947084,"GRB10"
"positive regulation of synaptic transmission (GO:0050806)","1/73",0.248565852719463,0.350633956493156,0,0,3.58044733044733,4.98415263947084,"EIF2AK4"
"positive regulation of DNA-binding transcription factor activity (GO:0051091)","2/246",0.249172495303214,0.350642740378499,0,0,2.12230371009491,2.94917418297784,"PPARG;PPARGC1B"
"regulation of cytokine-mediated signaling pathway (GO:0001959)","1/74",0.251507177390668,0.351388018172607,0,0,3.53122220245508,4.87408862904439,"USP18"
"cellular response to amino acid starvation (GO:0034198)","1/74",0.251507177390668,0.351388018172607,0,0,3.53122220245508,4.87408862904439,"EIF2AK4"
"mitotic nuclear division (GO:0140014)","1/74",0.251507177390668,0.351388018172607,0,0,3.53122220245508,4.87408862904439,"CCDC61"
"nervous system development (GO:0007399)","3/447",0.253312156222666,0.35306515330319,0,0,1.75477477477477,2.40953868004322,"OPHN1;PDGFC;INHBA"
"response to amino acid starvation (GO:1990928)","1/75",0.254437135924668,0.353473643345307,0,0,3.48332748332748,4.76763549437428,"EIF2AK4"
"regulation of transcription, DNA-templated (GO:0006355)","11/2244",0.255763038385056,0.353473643345307,0,0,1.30056613484303,1.77332698987706,"BRF2;KDM4C;THRA;CTBP2;ZFP2;POLR3F;PPARG;INHBA;SSBP2;VGLL4;PPARGC1B"
"actomyosin structure organization (GO:0031032)","1/76",0.257355771692734,0.353473643345307,0,0,3.43670995670996,4.66463207848593,"FRMD6"
"regulation of T cell proliferation (GO:0042129)","1/76",0.257355771692734,0.353473643345307,0,0,3.43670995670996,4.66463207848593,"GLMN"
"regulation of BMP signaling pathway (GO:0030510)","1/76",0.257355771692734,0.353473643345307,0,0,3.43670995670996,4.66463207848593,"PPARG"
"cell morphogenesis involved in neuron differentiation (GO:0048667)","1/76",0.257355771692734,0.353473643345307,0,0,3.43670995670996,4.66463207848593,"OPHN1"
"positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)","1/77",0.26026312780562,0.353473643345307,0,0,3.39131920710868,4.56492635442045,"PDGFC"
"cellular response to UV (GO:0034644)","1/77",0.26026312780562,0.353473643345307,0,0,3.39131920710868,4.56492635442045,"EIF2AK4"
"cholesterol metabolic process (GO:0008203)","1/77",0.26026312780562,0.353473643345307,0,0,3.39131920710868,4.56492635442045,"ARV1"
"positive regulation of type I interferon production (GO:0032481)","1/77",0.26026312780562,0.353473643345307,0,0,3.39131920710868,4.56492635442045,"POLR3F"
"regulation of organelle assembly (GO:1902115)","1/77",0.26026312780562,0.353473643345307,0,0,3.39131920710868,4.56492635442045,"IFT140"
"negative regulation of blood vessel morphogenesis (GO:2000181)","1/78",0.263159247366178,0.35657772728967,0,0,3.34710743801653,4.46837479616033,"PPARG"
"regulation of neuron differentiation (GO:0045664)","1/79",0.266044173229341,0.35965230825448,0,0,3.3040293040293,4.3748418063464,"EIF2AK4"
"negative regulation of cell cycle (GO:0045786)","1/80",0.268917948075424,0.360202022192769,0,0,3.26204175571264,4.28419918535119,"INHBA"
"negative regulation of cellular response to growth factor stimulus (GO:0090288)","1/80",0.268917948075424,0.360202022192769,0,0,3.26204175571264,4.28419918535119,"PPARG"
"regulation of fat cell differentiation (GO:0045598)","1/80",0.268917948075424,0.360202022192769,0,0,3.26204175571264,4.28419918535119,"PPARG"
"lipid biosynthetic process (GO:0008610)","1/80",0.268917948075424,0.360202022192769,0,0,3.26204175571264,4.28419918535119,"PAM"
"cellular component assembly (GO:0022607)","2/261",0.270866388958371,0.36154869893021,0,0,1.99786628733997,2.60947231342775,"OPHN1;GAS8"
"activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)","1/81",0.271780614435552,0.36154869893021,0,0,3.2211038961039,4.19632564252639,"PPARG"
"negative regulation of protein modification process (GO:0031400)","1/81",0.271780614435552,0.36154869893021,0,0,3.2211038961039,4.19632564252639,"CRTAP"
"regulation of gene expression, epigenetic (GO:0040029)","1/82",0.27463221475441,0.364511848674035,0,0,3.18117684784351,4.11110634482161,"GLMN"
"glycoprotein biosynthetic process (GO:0009101)","1/83",0.277472791180557,0.365788058802359,0,0,3.14222363002851,4.02843250300734,"ALG10B"
"regulation of defense response (GO:0031347)","1/83",0.277472791180557,0.365788058802359,0,0,3.14222363002851,4.02843250300734,"USP18"
"regulation of osteoblast differentiation (GO:0045667)","1/83",0.277472791180557,0.365788058802359,0,0,3.14222363002851,4.02843250300734,"PPARG"
"spindle assembly (GO:0051225)","1/84",0.280302385827539,0.368686020998385,0,0,3.10420904396808,3.94820098377705,"CCDC61"
"negative regulation of defense response (GO:0031348)","1/85",0.28312104060858,0.369068499364756,0,0,3.06709956709957,3.87031395557128,"PPARG"
"G1/S transition of mitotic cell cycle (GO:0000082)","1/85",0.28312104060858,0.369068499364756,0,0,3.06709956709957,3.87031395557128,"INHBA"
"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)","1/85",0.28312104060858,0.369068499364756,0,0,3.06709956709957,3.87031395557128,"COPG2"
"positive regulation of protein catabolic process (GO:0045732)","1/85",0.28312104060858,0.369068499364756,0,0,3.06709956709957,3.87031395557128,"VGLL4"
"regulation of Ras protein signal transduction (GO:0046578)","1/86",0.285928797233274,0.369430127398743,0,0,3.03086325439267,3.794678558695,"OPHN1"
"glucose homeostasis (GO:0042593)","1/86",0.285928797233274,0.369430127398743,0,0,3.03086325439267,3.794678558695,"PPARG"
"negative regulation of phosphorylation (GO:0042326)","1/86",0.285928797233274,0.369430127398743,0,0,3.03086325439267,3.794678558695,"INHBA"
"regulation of interferon-gamma production (GO:0032649)","1/86",0.285928797233274,0.369430127398743,0,0,3.03086325439267,3.794678558695,"INHBA"
"negative regulation of angiogenesis (GO:0016525)","1/87",0.28872569731262,0.372220325012296,0,0,2.99546964663244,3.72120659835529,"PPARG"
"regulation of type I interferon production (GO:0032479)","1/89",0.294287093434477,0.376893996854682,0,0,2.92709563164109,3.58042185405644,"POLR3F"
"regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)","1/89",0.294287093434477,0.376893996854682,0,0,2.92709563164109,3.58042185405644,"GRAMD4"
"collagen fibril organization (GO:0030199)","1/89",0.294287093434477,0.376893996854682,0,0,2.92709563164109,3.58042185405644,"CRTAP"
"positive regulation of autophagy (GO:0010508)","1/90",0.297051671847384,0.377948096642423,0,0,2.89406099518459,3.51295355437946,"EIF2AK4"
"positive regulation of binding (GO:0051099)","1/90",0.297051671847384,0.377948096642423,0,0,2.89406099518459,3.51295355437946,"PPARG"
"negative regulation of translation (GO:0017148)","1/90",0.297051671847384,0.377948096642423,0,0,2.89406099518459,3.51295355437946,"EIF2AK4"
"T cell activation (GO:0042110)","1/92",0.302548794354477,0.382442631824707,0,0,2.83016983016983,3.38350400588348,"EIF2AK4"
"regulation of lipid metabolic process (GO:0019216)","1/92",0.302548794354477,0.382442631824707,0,0,2.83016983016983,3.38350400588348,"PPARG"
"positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100)","1/92",0.302548794354477,0.382442631824707,0,0,2.83016983016983,3.38350400588348,"INHBA"
